"GENE_ACCESSION_ID","GENE_SYMBOL","MOUSE_STRAIN","MOUSE_LIFE_STAGE","PARAMETER_ID","PVALUE","PARAMETER_NAME","ANALYSIS_ID"
"MGI:1918359","Flacc1","C57BL","Early adult","JAX_OFD_017_001",0.4111325,"Center average speed","0000dist1a5b1mo"
"MGI:1915485","Mturn","C57BL","Early adult","GMC_905_001_011",0.2714674,"Absolute number of lymphocytes","000707gygw7469i"
"MGI:1916340","Ascc1","C57BL","Early adult","IMPC_CBC_005_001",0.8883413,"Creatinine","0007209q63b8052"
"MGI:2137624","Pom121","C57BL","E9.5","IMPC_DXA_002_001",0.9409411,"Fat mass","00087e0a1j5490o"
"MGI:2143698","Vezt","C57BL","Early adult","GMC_916_001_018",0.7952579,"Rearings box","0017238or03puq6"
"MGI:97491","Pax7","C57BL","E12.5","IMPC_GRS_009_001",0.7717555,"Forelimb and hindlimb grip strength measurement mean","0017ydbz03vr1b5"
"MGI:2137624","Pom121","C57BL","E9.5","IMPC_XRY_057_001",0.06966954,"Kyphosis","001cnv02f43mk45"
"MGI:1917180","Zfp715","C57BL","Early adult","JAXLA_CSD_012_001",0.5313241,"Coat - hair distribution - head","001gha91569u6o5"
"MGI:2685018","Ccdc110","C57BL","Early adult","JAX_URI_001_001",0.6899423,"microAlbumin (calculated)","001qq7b93m5hxz4"
"MGI:1917933","Utp20","C57BL","E18.5","IMPC_HWT_008_001",0.505022,"Heart weight","001r3p448025u0f"
"MGI:2384974","Flvcr2","C57BL","Early adult","GMC_906_001_001",0.8380787,"Glucose","001ukc5j0yq0u75"
"MGI:1922184","Odad2","C57BL","Early adult","GMC_920_001_013",0.1328395,"sTV-active","0022ou12lt3j8xo"
"MGI:1921004","Thap1","C57BL","Early adult","IMPC_CBC_003_001",0.6084389,"Chloride","0023uwmk3833a9i"
"MGI:1915485","Mturn","C57BL","Early adult","GMC_905_001_010",0.4792041,"Mean platelets volume","002701x0336b91e"
"MGI:105959","Cox8a","C57BL","Early adult","IMPC_XRY_061_001",0.1767727,"Fusion of processes","002dcv31502zgsg"
"MGI:1859866","Cdc20","C57BL","E9.5","JAXLA_CBC_018_001",0.9563595,"Glucose","0030vd0g83t257i"
"MGI:97489","Pax5","C57BL","Early adult","IMPC_XRY_012_001",0.9613755,"Pelvis","00340laqz682s9l"
"MGI:1859866","Cdc20","C57BL","E9.5","GMC_916_001_018",0.4334322,"Rearings box","00355le92t9e6j8"
"MGI:892866","Dgcr2","C57BL","Early adult","JAX_OFD_009_001",0.3155778,"Whole arena average speed","003rawcawr0otxv"
"MGI:104294","Tyro3","C57BL","Early adult","IMPC_XRY_019_001",0.3681706,"Fusion of vertebrae","0052ug6828ulsw5"
"MGI:2141101","Depdc5","C57BL","Early adult","IMPC_CBC_017_001",0.5032383,"Triglycerides","0052zo6l3j47f14"
"MGI:2685508","A830031A19Rik","C57BL","Early adult","GMC_906_001_001",0.9746191,"Glucose","005335qznf054s2"
"MGI:1917933","Utp20",NA,"Early adult","GMC_923_001_001",0.7649766,"Body weight","0059t78476087it"
"MGI:1918830","Mtrf1l","129SV","Early adult","IMPC_DXA_006_001",0.2284948,"Body length","005etd2i248p351"
"MGI:1916340","Ascc1","C57BL","Early adult","CCP_LFO_007_001",0.3437776,"Hqp","005hdikd4203vp2"
"MGI:1344341","Car14","C57BL","Early adult","JAXLA_CSD_036_001",0.5875418,"Startle response","005y92y5d2m994z"
"MGI:2141101","Depdc5","C57BL","E15.5","IMPC_EYE_019_001",0.9569529,"Synechia","006ke929sek7waa"
"MGI:1098240","Kif16b","C57BL","early adult","JAXLA_IPG_010_001",0.8016056,"Fasted blood glucose concentration","006kw59011hdp0j"
"MGI:2686600","Zfp174","C57BL","Early adult","IMPC_CSD_078_001",0.378634,"Vocalization","0072164npy29kas"
"MGI:1859866","Cdc20","C57BL","E9.5","GMC_914_001_002",0.4226898,"Body temperature rectal","007746h9t8280r6"
"MGI:2384919","Rxylt1",NA,"Early adult","CCP_XRY_018_001",0.6067641,"Shape of vertebrae","007926i87z7dyqx"
"MGI:2681846","Mpv17l2","C57BL","Early adult","IMPC_EYE_063_001",0.5797979,"Right inner nuclear layer","007d0x78s79u8xq"
"MGI:2180565","Pnma3","C57BL","Middle aged adult","GMC_916_001_018",0.4141351,"Rearings box","007e6re9pncu866"
"MGI:2654703","Otud7b","C57BL","Early adult","IMPC_DXA_007_001",0.2235084,"BMC/Body weight","007qti4sft33o3j"
"MGI:2180565","Pnma3","C57BL","Late adult","IMPC_EYE_016_001",0.1126896,"Lens","007w9h538mp7446"
"MGI:1916071","Fcsk","C57BL","Early adult","IMPC_GEO_069_001",0.7354421,"Delayed embryonic development","008412r9lddk37o"
"MGI:2684917","Vcpkmt","C57BL","Early adult","IMPC_GRS_011_001",0.9051049,"Forelimb and hindlimb grip strength normalised against body weight","00877u9wglcs423"
"MGI:88456","Col4a5","C57BL","Early adult","IMPC_CSD_013_001",0.7111098,"Coat - hair distribution - abdomen","008se8md91ca594"
"MGI:2384919","Rxylt1","C57BL","E12.5","IMPC_ABR_008_001",0.9646342,"18kHz-evoked ABR Threshold","0091m028k8w62la"
"MGI:1333863","Pde3b","C57BL","Early adult","GMC_920_001_006",0.9423871,"PIF-active","009244r8rezzful"
"MGI:2686600","Zfp174","C57BL","Early adult","JAX_PLC_004_001",0.2593191,"Glucose","0094c8t27f8w23c"
"MGI:2444785","Dcaf5","C57BL","Early adult","IMPC_CSD_078_001",0.3438086,"Vocalization","009bp6596174w7h"
"MGI:1916340","Ascc1","C57BL","E18.5","IMPC_HEM_029_001",0.2225361,"Neutrophil differential count","009ep2350w3808i"
"MGI:1916319","Tmem273","C57BL","Early adult","IMPC_HEM_040_001",0.2793623,"Large Unstained Cell (LUC) differential count","009g6or0dl64b24"
"MGI:2384919","Rxylt1","C57BL","Late adult","IMPC_DXA_003_001",0.6803541,"Lean mass","00amshoh906x2i1"
"MGI:108278","Ube2m","C57BL","E9.5","IMPC_EYE_026_001",0.5429163,"Retinal Blood Vessels Pattern","00aq9dd14ffd58t"
"MGI:2654703","Otud7b","C57BL","Early adult","IMPC_CBC_023_001",0.7285467,"Alpha-amylase","00bf419tdqu5tqx"
"MGI:2684789","Lrsam1","C57BL","Early adult","GMC_906_001_017",0.9882319,"Total cholesterol","00d0126dtt1ozf9"
"MGI:1915485","Mturn","C57BL",NA,"IMPC_EYE_018_001",0.8216064,"Fusion between cornea and lens","00du94md8un2lm0"
"MGI:108278","Ube2m","C57BL","E9.5","IMPC_GRS_009_001",0.296968,"Forelimb and hindlimb grip strength measurement mean","00e28v3q0btm385"
"MGI:1918830","Mtrf1l","C57BL","Early adult","JAXLA_GRS_011_001",0.250349,"Forelimb and hindlimb grip strength normalised against body weight","00ed4y9c3btxyt3"
"MGI:2180565","Pnma3","C57BL","Middle aged adult","IMPC_ACS_006_001",0.568694,"Response amplitude - S","00ezd7o561iinz7"
"MGI:2685097","Lrrc37a","C57BL","Early adult","JAX_OFD_014_001",0.579629,"Center distance travelled","00f5m497p0lxxmx"
"MGI:2685508","A830031A19Rik","C57BL","Early adult","JAX_PLC_004_001",0.7707313,"Glucose","00fkql2hb53vgbn"
"MGI:2685097","Lrrc37a","C57BL","Early adult","CCP_XRY_060_001",0.5440735,"Transitional vertebrae","00fu34c51bnh35w"
"MGI:96669","Kcnc3","C57BL","Middle aged adult","IMPC_IMM_011_001",0.2992906,"CD4 NKT cells","00fusnkzc441f80"
"MGI:2685018","Ccdc110","C57BL","Early adult","IMPC_EYE_016_001",0.5552403,"Lens","00fwwg9qk5095f3"
"MGI:95321","Emb","C57BL","Early adult","IMPC_CBC_016_001",0.1856911,"HDL-cholesterol","00fx89p7z06m74u"
"MGI:2384919","Rxylt1","C57BL","Late adult","ESLIM_015_001_002",0.9423521,"Urea","00g51g9k7a4088i"
"MGI:2384982","Cdca7l","C57BL","Middle aged adult","IMPC_ABR_012_001",0.5176456,"30kHz-evoked ABR Threshold","00g6966x0uchbt2"
"MGI:2442978","Ogfod1","129SV","Early adult","GMC_905_001_003",0.8884257,"Platelet","00ig4v27g9l8ot6"
"MGI:1923061","Saxo1","C57BL","Early adult","IMPC_EYE_003_001",0.3367347,"Eye Hemorrhage or Blood Presence","00ju592ll3h283v"
"MGI:892866","Dgcr2","C57BL","Early adult","GMC_906_001_009",0.7012127,"Calcium","00k4ubao4i0azn5"
"MGI:1098240","Kif16b","C57BL","Early adult","IMPC_GRS_010_001",0.3248537,"Forelimb grip strength normalised against body weight","00k8bo58658wz5a"
"MGI:96669","Kcnc3","C57BL","Late adult","IMPC_EYE_017_001",0.3722685,"Lens Opacity","00kd47pm0g0aics"
"MGI:2155959","Lnx2","C57BL","Early adult","ESLIM_015_001_015",0.5928171,"Alkaline phosphatase","00kt27pl2svf5db"
"MGI:1919364","Zbed3","C57BL","Early adult","GMC_916_001_018",0.382775,"Rearings box","00laas3olg68rv3"
"MGI:96669","Kcnc3","C57BL","Early adult","IMPC_EYE_063_001",0.5333845,"Right inner nuclear layer","00lhpgng3678c79"
"MGI:2384919","Rxylt1","C57BL","Middle aged adult","GMC_906_001_018",0.3857611,"Triglyceride","00ly0auop5wow1a"
"MGI:1915987","Angel1","C57BL","Early adult","IMPC_GEO_069_001",0.5272065,"Delayed embryonic development","00n767uomjsf8ka"
"MGI:2443219","Tmem260","C57BL","Early adult","JAXLA_CSD_004_001",0.3675362,"Tail - morphology","00o077x8637n3b7"
"MGI:1913883","Nsa2","C57BL","Early adult","IMPC_EYE_007_001",0.5221771,"Cornea","00p5qz7t8tva172"
"MGI:1916340","Ascc1","C57BL","Early adult","IMPC_XRY_055_001",0.09324634,"Shape of spine","00q6a9r8m1octav"
"MGI:104659","Dll1","C3H","Early adult","JAXLA_CSD_012_001",0.8318387,"Coat - hair distribution - head","00qq79ej448668j"
"MGI:2686600","Zfp174","C57BL","Late adult","IMPC_EYE_019_001",0.1615974,"Synechia","00r21772i88bgu4"
"MGI:1921004","Thap1","C57BL","E12.5","IMPC_ABR_010_001",0.1110336,"24kHz-evoked ABR Threshold","00r96b5t15lfdj4"
"MGI:2681846","Mpv17l2","C57BL","Early adult","IMPC_OFD_021_001",0.5574717,"Number of rears - total","00svkmah5ng52h4"
"MGI:106642","Baat","C57BL","Early adult","IMPC_HEM_027_001",0.8005991,"Red blood cell distribution width","00t0z95029yb1c1"
"MGI:2445160","Kcnh8","C57BL","Late adult","IMPC_CSD_013_001",0.2827672,"Coat - hair distribution - abdomen","00t2mq5556s15i6"
"MGI:2685298","Trim56","C57BL","Early adult","GMC_916_001_022",0.4932818,"Body weight","00ty18bsiq41878"
"MGI:1915756","Ctnnbip1","C57BL","Early adult","IMPC_EYE_062_001",0.6007074,"Right total retinal thickness","00u17p5v753k7m3"
"MGI:88357","Cdk4","C57BL","Early adult","MGP_PBI_008_001",0.3116628,"CD4+ CD25+ alpha beta regulatory T cell percentage","00uubzi27a44712"
"MGI:1916071","Fcsk","C57BL","Early adult","IMPC_XRY_012_001",0.7602319,"Pelvis","00uyh2d12zj975z"
"MGI:3646964","Fscb","C57BL","Early adult","IMPC_GEO_069_001",0.2561169,"Delayed embryonic development","00w01m9w2t0958u"
"MGI:1915756","Ctnnbip1","C57BL","E15.5","CCP_LFO_001_001",0.5279414,"Weight","00w04864sjgxhy1"
"MGI:1914780","Uqcrb","C57BL","Early adult","GMC_920_001_006",0.8048114,"PIF-active","00w585355642003"
"MGI:1347061","Abcg2","C57BL","Early adult","IMPC_XRY_033_001",0.136779,"Tibia length","00w79a0x51b4211"
"MGI:109186","Ncf4","C57BL","Early adult","IMPC_CBC_011_001",0.989127,"Iron","00xpxtqm396a7c2"
"MGI:1914969","2310057J18Rik","C57BL","Early adult","IMPC_DXA_003_001",0.4484405,"Lean mass","00zu6052oekr25y"
"MGI:2137624","Pom121","C57BL","E9.5","IMPC_EYE_064_001",0.3220243,"Right outer nuclear layer","00zyq18k8s866kr"
"MGI:2384982","Cdca7l","C57BL","Early adult","IMPC_EYE_026_001",0.7903728,"Retinal Blood Vessels Pattern","010394z951k7cn1"
"MGI:1917933","Utp20","C57BL","Early adult","IMPC_OFD_020_001",0.2788151,"Distance travelled - total","010hq55vax418ig"
"MGI:1918359","Flacc1","C57BL","Early adult","IMPC_CBC_018_001",0.2312967,"Glucose","01188476e46gmok"
"MGI:1315201","Grcc10","C57BL","E18.5","JAX_OFD_014_001",0.7093834,"Center distance travelled","0122qixezt05n5a"
"MGI:2384919","Rxylt1","C57BL","E12.5","IMPC_CAL_017_001",0.6957301,"Respiratory Exchange Ratio","0126q90cz99hrj6"
"MGI:1915485","Mturn","C57BL",NA,"IMPC_DXA_003_001",0.6363017,"Lean mass","0127h92pjy82vi8"
"MGI:1915756","Ctnnbip1","C57BL","E15.5","GMC_905_001_012",0.4421056,"Absolute number of monocytes","0127v79p9nlhocx"
"MGI:1919891","Mob2","C57BL","Early adult","IMPC_ACS_035_001",0.9197038,"% Pre-pulse inhibition - PPI3","012kc671rtzk14g"
"MGI:2686600","Zfp174","C57BL","Early adult","IMPC_OFD_014_001",0.07940945,"Center distance travelled","01315926u7kb0e3"
"MGI:97491","Pax7","C57BL","E15.5","IMPC_IPG_011_001",0.4831589,"Initial response to glucose challenge","01411u1g24s0oxy"
"MGI:105959","Cox8a","C57BL","Early adult","IMPC_CBC_012_001",0.5760073,"Aspartate aminotransferase","01421722noo2e43"
"MGI:88357","Cdk4","C57BL","Early adult","GMC_920_001_035",0.5301714,"Ti/TT-sleep","014bt5300791kn6"
"MGI:1926283","Pgap6","C57BL","Early adult","JAXLA_CBC_018_001",0.5789786,"Glucose","014dhv31gn2z027"
"MGI:104294","Tyro3","C57BL","Early adult","GMC_920_001_039",0.2580146,"sMV-sleep","014hh0d4w7g1p2o"
"MGI:2384919","Rxylt1","C57BL","Middle aged adult","IMPC_EYE_018_001",0.9247611,"Fusion between cornea and lens","0155hu70o79q2w3"
"MGI:1914780","Uqcrb","C57BL","Early adult","IMPC_HEM_027_001",0.15369,"Red blood cell distribution width","0156g7wr3pn58vf"
"MGI:96538","Il10ra","C57BL","Early adult","JAX_OFD_014_001",0.1930904,"Center distance travelled","015aky5o0txkyrm"
"MGI:2384982","Cdca7l","C57BL","early adult","IMPC_HEM_005_001",0.8530189,"Mean cell volume","015cr691664b2t0"
