"DO Disease ID	DO Disease Name	OMIM IDs	Mouse MGI ID",,,,
"0112248	17-beta hydroxysteroid dehydrogenase 3 deficiency	264300	107177",,,,
"0111453	2-aminoadipic 2-oxoadipic aciduria	204750	2445096",,,,
"0110004	3-methylglutaconic aciduria type 3	258501	2686271",,,,
"0110001	""3-methylglutaconic aciduria with deafness", encephalopathy," and Leigh-like syndrome""	614739	2447813",,
"14221	abdominal obesity-metabolic syndrome 1	605552	3622477",,,,
"14221	abdominal obesity-metabolic syndrome 1	605552	104663",,,,
"14221	abdominal obesity-metabolic syndrome 1	605552	1926609",,,,
"14221	abdominal obesity-metabolic syndrome 1	605552	5828147",,,,
"0050711	aceruloplasminemia	604290	88476",,,,
"9164	achalasia	200400	96794",,,,
"9164	achalasia	200400	97360",,,,
"9164	achalasia	200400	1345138",,,,
"0050603	acheiropody	200500	1861746",,,,
"0080054	achondrogenesis type IA	200600	1924393",,,,
"0080056	achondrogenesis type II	200610	88452",,,,
"4480	achondroplasia	100800	2150019",,,,
"4480	achondroplasia	100800	2181550",,,,
"4480	achondroplasia	100800	97800",,,,
"4480	achondroplasia	100800	99602",,,,
"4480	achondroplasia	100800	95524",,,,
"4480	achondroplasia	100800	2388108",,,,
"4480	achondroplasia	100800	97369",,,,
"4480	achondroplasia	100800	97372",,,,
"0110007	achromatopsia 2	216900	1341818",,,,
"0110008	achromatopsia 3	262300	1353562",,,,
"0110010	achromatopsia 4	613856	95779",,,,
"0110009	achromatopsia 7	616517	1926157",,,,
"9250	acrocallosal syndrome	200990	1098239",,,,
"12960	acrocephalosyndactylia	101200	95523",,,,
"0050605	acrodermatitis enteropathica	201100	1919277",,,,
"14669	acrodysostosis	101800|614613	104878",,,,
"0080052	""acromesomelic dysplasia"," Grebe type""	200700	95688",,,
"0080051	""acromesomelic dysplasia"," Hunter-Thompson type""	201250	95688",,,
"0080050	""acromesomelic dysplasia"," Maroteaux type""	602875	97372",,,
"7004	ACTH-secreting pituitary adenoma	219090	5805517",,,,
"3890	acute intermittent porphyria	176000	96112",,,,
"12603	acute leukemia	308960	3822839",,,,
"9952	acute lymphoblastic leukemia	247640|613065	96995",,,,
"9952	acute lymphoblastic leukemia	247640|613065	4889197",,,,
"9952	acute lymphoblastic leukemia	247640|613065	102811",,,,
"9952	acute lymphoblastic leukemia	247640|613065	99460",,,,
"9952	acute lymphoblastic leukemia	247640|613065	5788538",,,,
"9952	acute lymphoblastic leukemia	247640|613065	4843438",,,,
"9952	acute lymphoblastic leukemia	247640|613065	109583",,,,
"9952	acute lymphoblastic leukemia	247640|613065	107940",,,,
"9119	acute myeloid leukemia	601626	99480",,,,
"9119	acute myeloid leukemia	601626	5558102",,,,
"9119	acute myeloid leukemia	601626	2444354",,,,
"9119	acute myeloid leukemia	601626	6315192",,,,
"9119	acute myeloid leukemia	601626	96995",,,,
"9119	acute myeloid leukemia	601626	5548207",,,,
"9119	acute myeloid leukemia	601626	98282",,,,
"9119	acute myeloid leukemia	601626	101785",,,,
"9119	acute myeloid leukemia	601626	2684063",,,,
"9119	acute myeloid leukemia	601626	95559",,,,
"9119	acute myeloid leukemia	601626	1098280",,,,
"0060318	acute promyelocytic leukemia	612376	5306984",,,,
"0060318	acute promyelocytic leukemia	612376	2673324",,,,
"0060227	Adams-Oliver syndrome	100300|614219|615297|616028	1859388",,,,
"0060350	adenine phosphoribosyltransferase deficiency	614723	88061",,,,
"5810	adenosine deaminase deficiency	102700	87916",,,,
"5810	adenosine deaminase deficiency	102700	2683065",,,,
"0080150	adrenocorticotropic hormone deficiency	201400	1891158",,,,
"10588	adrenoleukodystrophy	300100	1349215",,,,
"0110913	adult hypophosphatasia	146300	87983",,,,
"0080093	adult-onset myofibrillar myopathy 2A	608810	88516",,,,
"0080093	adult-onset myofibrillar myopathy 2A	608810	6103871",,,,
"0080093	adult-onset myofibrillar myopathy 2A	608810	5468018",,,,
"0110011	advanced sleep phase syndrome 1	604348	3837441",,,,
"0110011	advanced sleep phase syndrome 1	604348	1195265",,,,
"0110012	advanced sleep phase syndrome 2	615224	3837570",,,,
"0110012	advanced sleep phase syndrome 2	615224	3837571",,,,
"0090003	agenesis of the corpus callosum with peripheral neuropathy	218000	2135960",,,,
"0110014	age related macular degeneration 1	603075	98935",,,,
"0110014	age related macular degeneration 1	603075	3575688",,,,
"0110014	age related macular degeneration 1	603075	88518",,,,
"0110024	age related macular degeneration 12	613784	1333815",,,,
"0110017	age related macular degeneration 4	610698	88385",,,,
