impc_parameter_orig_id,parameter_name,parameter_id,param_grouping,procedure_group_id
17587,Forelimb grip strength measurement,IMPC_GRS_001_001,,19
17588,Forelimb and hindlimb grip strength measurement,IMPC_GRS_002_001,,19
17589,Body weight,IMPC_GRS_003_001,,19
17590,General comments about the mouse,IMPC_GRS_004_001,,19
17591,Equipment ID,IMPC_GRS_005_001,,19
17592,Equipment manufacturer,IMPC_GRS_006_001,,19
17593,Grid model,IMPC_GRS_007_001,,19
17594,Forelimb grip strength measurement mean,IMPC_GRS_008_001,,19
17595,Forelimb and hindlimb grip strength measurement mean,IMPC_GRS_009_001,,19
17596,Forelimb grip strength normalised against body weight,IMPC_GRS_010_001,Weight,19
17597,Forelimb and hindlimb grip strength normalised against body weight,IMPC_GRS_011_001,Weight,19
17598,Experimenter ID,IMPC_GRS_012_001,,19
17599,Equipment model,IMPC_GRS_013_001,,19
17600,Date equipment last calibrated,IMPC_GRS_014_001,,19
27568,Adrenal gland,IMPC_ALZ_001_001,,2
27569,Lower Urinary Tract,IMPC_ALZ_002_001,,2
27570,Brain,IMPC_ALZ_003_001,,2
27571,Eye,IMPC_ALZ_004_001,,2
27572,Heart,IMPC_ALZ_005_001,,2
27573,Kidney,IMPC_ALZ_006_001,,2
27574,Liver,IMPC_ALZ_007_001,,2
27575,Lymph Node,IMPC_ALZ_008_001,,2
27576,Mammary gland,IMPC_ALZ_009_001,,2
27577,Ovary,IMPC_ALZ_010_001,,2
27578,Oviduct,IMPC_ALZ_011_001,,2
27579,Skin,IMPC_ALZ_012_001,,2
27580,Stomach,IMPC_ALZ_013_001,,2
27581,Testis,IMPC_ALZ_014_001,,2
27582,Thymus,IMPC_ALZ_015_001,,2
27583,Trachea,IMPC_ALZ_016_001,,2
27584,Uterus,IMPC_ALZ_017_001,,2
27585,Large Intestine,IMPC_ALZ_018_001,,2
27586,Esophagus,IMPC_ALZ_019_001,,2
27587,Spinal cord,IMPC_ALZ_020_001,,2
27588,Thyroid gland,IMPC_ALZ_021_001,,2
27589,Pituitary gland,IMPC_ALZ_022_001,,2
27590,Skeletal Muscle,IMPC_ALZ_023_001,,2
27591,Small Intestine,IMPC_ALZ_024_001,,2
27592,White Adipose Tissue,IMPC_ALZ_025_001,,2
27593,Lung,IMPC_ALZ_026_001,,2
27594,Aorta,IMPC_ALZ_027_001,,2
27595,Pancreas,IMPC_ALZ_028_001,,2
27596,Prostate gland,IMPC_ALZ_029_001,,2
27597,Spleen,IMPC_ALZ_030_001,,2
27598,Brainstem,IMPC_ALZ_031_001,,2
27599,Cartilage tissue,IMPC_ALZ_032_001,,2
27600,Cerebral Cortex,IMPC_ALZ_033_001,,2
27601,Cerebellum,IMPC_ALZ_034_001,,2
27602,Hippocampus,IMPC_ALZ_035_001,,2
27603,Hypothalamus,IMPC_ALZ_036_001,,2
27604,Olfactory Lobe,IMPC_ALZ_037_001,,2
27605,Peripheral Nervous System,IMPC_ALZ_038_001,,2
27606,Peyers Patch,IMPC_ALZ_039_001,,2
27607,Striatum,IMPC_ALZ_040_001,,2
27608,Vascular System,IMPC_ALZ_041_001,,2
27609,Urinary bladder,IMPC_ALZ_042_001,,2
