gene_accession_id,gene_symbol
MGI:1918359,Flacc1
MGI:1915485,Mturn
MGI:1916340,Ascc1
MGI:2137624,Pom121
MGI:2143698,Vezt
MGI:97491,Pax7
MGI:1917180,Zfp715
MGI:2685018,Ccdc110
MGI:1917933,Utp20
MGI:2384974,Flvcr2
MGI:1922184,Odad2
MGI:1921004,Thap1
MGI:105959,Cox8a
MGI:1859866,Cdc20
MGI:97489,Pax5
MGI:892866,Dgcr2
MGI:104294,Tyro3
MGI:2141101,Depdc5
MGI:2685508,A830031A19Rik
MGI:1918830,Mtrf1l
MGI:1344341,Car14
MGI:1098240,Kif16b
MGI:2686600,Zfp174
MGI:2384919,Rxylt1
MGI:2681846,Mpv17l2
MGI:2180565,Pnma3
MGI:2654703,Otud7b
MGI:1916071,Fcsk
MGI:2684917,Vcpkmt
MGI:88456,Col4a5
MGI:1333863,Pde3b
MGI:2444785,Dcaf5
MGI:1916319,Tmem273
MGI:108278,Ube2m
MGI:2684789,Lrsam1
MGI:2685097,Lrrc37a
MGI:96669,Kcnc3
MGI:95321,Emb
MGI:2384982,Cdca7l
MGI:2442978,Ogfod1
MGI:1923061,Saxo1
MGI:2155959,Lnx2
MGI:1919364,Zbed3
MGI:1915987,Angel1
MGI:2443219,Tmem260
MGI:1913883,Nsa2
MGI:104659,Dll1
MGI:106642,Baat
MGI:2445160,Kcnh8
MGI:2685298,Trim56
MGI:1915756,Ctnnbip1
MGI:88357,Cdk4
MGI:3646964,Fscb
MGI:1914780,Uqcrb
MGI:1347061,Abcg2
MGI:109186,Ncf4
MGI:1914969,2310057J18Rik
MGI:1315201,Grcc10
MGI:1919891,Mob2
MGI:1926283,Pgap6
MGI:96538,Il10ra
MGI:1914759,Saysd1
MGI:87939,Adrb3
MGI:108398,Mlx
MGI:1321393,Timeless
MGI:3652306,Krtap4-8
MGI:104992,Crybb1
MGI:1914267,Fam210b
MGI:1916315,Chac1
MGI:3643383,Calhm1
MGI:1333798,Avil
MGI:1344370,Ndufc2
MGI:2139134,Cercam
MGI:3643534,Angptl8
MGI:3588207,Dnaaf3
MGI:2385852,Tifab
MGI:1920393,Wdr37
MGI:1916419,Fcmr
MGI:1338893,Padi1
MGI:2443086,Mindy2
MGI:1926020,Arl14ep
MGI:1920703,1700067K01Rik
MGI:98930,Vil1
MGI:3046938,Hrnr
MGI:1328358,Myom2
MGI:1932386,Ift122
MGI:1890257,Tas2r103
MGI:5546359,Xndc1
MGI:1933831,Btbd2
MGI:2442221,Zfp652
MGI:1351872,Slco2b1
MGI:2684866,Slfn14
MGI:1201378,Anxa3
MGI:1861441,Rab27a
MGI:2443497,Zmat4
MGI:1931415,Mynn
MGI:1860383,Cd160
MGI:1913915,Msantd3
MGI:2176740,Helq
MGI:1919118,Spmap2l
