parameter_name,parameter_description,parameter_id
Forelimb grip strength measurement,forelimb_grip_strength_measurement,IMPC_GRS_001_001
Forelimb and hindlimb grip strength measurement,forelimb_and_hindlimb_grip_strength_measurement,IMPC_GRS_002_001
Body weight,body_weight,IMPC_GRS_003_001
General comments about the mouse,general_comments_about_the_mouse,IMPC_GRS_004_001
Equipment ID,equipment_name,IMPC_GRS_005_001
Equipment manufacturer,equipment_manufacturer,IMPC_GRS_006_001
Grid model,grid_model,IMPC_GRS_007_001
Forelimb grip strength measurement mean,forelimb_grip_strength_measurement_mean,IMPC_GRS_008_001
Forelimb and hindlimb grip strength measurement mean,forelimb_and_hindlimb_grip_strength_measurement_mean,IMPC_GRS_009_001
Forelimb grip strength normalised against body weight,forelimb_grip_strength_normalised_against_body_weight,IMPC_GRS_010_001
Forelimb and hindlimb grip strength normalised against body weight,forelimb_and_hindlimb_grip_strength_normalised_against_body_weight,IMPC_GRS_011_001
Experimenter ID,NA,IMPC_GRS_012_001
Equipment model,NA,IMPC_GRS_013_001
Date equipment last calibrated,NA,IMPC_GRS_014_001
Adrenal gland,adrenal,IMPC_ALZ_001_001
Lower Urinary Tract,lower_urinary_tract,IMPC_ALZ_002_001
Brain,brain,IMPC_ALZ_003_001
Eye,eye,IMPC_ALZ_004_001
Heart,heart,IMPC_ALZ_005_001
Kidney,kidney,IMPC_ALZ_006_001
Liver,liver,IMPC_ALZ_007_001
Lymph Node,lymph_node,IMPC_ALZ_008_001
Mammary gland,mammary_gland,IMPC_ALZ_009_001
Ovary,ovary,IMPC_ALZ_010_001
Oviduct,oviduct,IMPC_ALZ_011_001
Skin,skin_with_mg,IMPC_ALZ_012_001
Stomach,stomach,IMPC_ALZ_013_001
Testis,testis_epididymus,IMPC_ALZ_014_001
Thymus,thymus,IMPC_ALZ_015_001
Trachea,trachea,IMPC_ALZ_016_001
Uterus,uterus,IMPC_ALZ_017_001
Large Intestine,large_intestine,IMPC_ALZ_018_001
Esophagus,esophagus,IMPC_ALZ_019_001
Spinal cord,spinal_cord,IMPC_ALZ_020_001
Thyroid gland,thyroid,IMPC_ALZ_021_001
Pituitary gland,pituitary,IMPC_ALZ_022_001
Skeletal Muscle,skeletal_muscle,IMPC_ALZ_023_001
Small Intestine,small_intestine,IMPC_ALZ_024_001
White Adipose Tissue,white_adipose_tissue,IMPC_ALZ_025_001
Lung,lungs,IMPC_ALZ_026_001
Aorta,aorta,IMPC_ALZ_027_001
Pancreas,pancreas,IMPC_ALZ_028_001
Prostate gland,prostate,IMPC_ALZ_029_001
Spleen,spleen,IMPC_ALZ_030_001
Brainstem,brainstem,IMPC_ALZ_031_001
Cartilage tissue,cartilage,IMPC_ALZ_032_001
Cerebral Cortex,cerebral_cortex,IMPC_ALZ_033_001
Cerebellum,cerebellum,IMPC_ALZ_034_001
